Party,State,Representative,PctPro,year,vote
D,Arizona,Mitchell,100,Pro07,20
D,California,Tauscher,98,Pro07,20
D,California,Stark,100,Pro07,20
D,California,Lofgren,100,Pro07,20
D,California,Waters,98,Pro07,20
D,Colorado,Murphy.Chris,100,Pro07,20
D,Illinois,Schakowsky,97.96,Pro07,20
D,Kentucky,Yarmuth,100,Pro07,20
D,Kentucky,Chandler,92,Pro07,20
D,Maine,Allen.T.,98,Pro07,20
D,Maine,Michaud,94,Pro07,20
D,Maryland,Wynn,86,Pro07,20
D,Massachusetts,Olver,100,Pro07,20
D,Massachusetts,McGovern,100,Pro07,20
D,Massachusetts,Tierney,100,Pro07,20
D,Minnesota,Sabo,94,Pro07,20
D,New.Hampshire,Hodes,100,Pro07,20
D,New.Jersey,Andrews,100,Pro07,20
D,New.Jersey,Pallone,100,Pro07,20
D,New.Jersey,Pascrell,96,Pro07,20
D,New.Jersey,Holt,100,Pro07,20
D,New.Mexico,Udall.T,100,Pro07,20
D,New.York,Bishop.T,97.96,Pro07,20
D,New.York,Israel,96,Pro07,20
D,New.York,McCarthy,98,Pro07,20
D,New.York,Maloney,98,Pro07,20
D,Oregon,Wu,100,Pro07,20
D,Oregon,Blumenauer,98,Pro07,20
D,Pennsylvania,Sestak,100,Pro07,20
D,Wisconsin,Baldwin,100,Pro07,20
D,Arizona,Giffords,95,Pro07,19
D,California,Matsui,95.92,Pro07,19
D,California,Woolsey,98,Pro07,19
D,California,Miller,98,Pro07,19
D,California,Lee,95.92,Pro07,19
D,California,Capps,97.96,Pro07,19
D,California,Sherman,98,Pro07,19
D,California,Schiff,96,Pro07,19
D,California,Waxman,98,Pro07,19
D,California,Solis,96,Pro07,19
D,California,Sanchez.Linda,96,Pro07,19
D,California,Davis,97.96,Pro07,19
D,Colorado,DeGette,98,Pro07,19
D,Colorado,Udall.M,98,Pro07,19
D,Colorado,Courtney,95,Pro07,19
D,Florida,Castor,95,Pro07,19
D,Georgia,Johnson.H,95,Pro07,19
D,Georgia,Lewis.John,97.96,Pro07,19
D,Illinois,Jackson.J,94,Pro07,19
D,Illinois,Davis.D,89.8,Pro07,19
D,Maryland,Cummings,92,Pro07,19
D,Maryland,VanHollen,98,Pro07,19
D,Massachusetts,Neal,95.92,Pro07,19
D,Massachusetts,Markey,98,Pro07,19
D,Massachusetts,Capuano,96,Pro07,19
D,Minnesota,McCollum,98,Pro07,19
D,New.York,Crowley,96,Pro07,19
D,New.York,Nadler,96,Pro07,19
D,New.York,Lowey,96,Pro07,19
D,New.York,Hall.J,95,Pro07,19
D,New.York,Gillibrand,95,Pro07,19
D,New.York,McNulty,96,Pro07,19
D,New.York,Hinchey,95.92,Pro07,19
D,New.York,Higgins,94,Pro07,19
D,New.York,Slaughter,93.88,Pro07,19
D,North.Carolina,Price.D,94,Pro07,19
D,North.Carolina,Watt,94,Pro07,19
D,Oregon,DeFazio,94,Pro07,19
D,Pennsylvania,Schwartz.A,96,Pro07,19
D,Rhode.Island,Langevin,98,Pro07,19
D,Tennessee,Cohen,100,Pro07,19
D,Vermont,Welch,95,Pro07,19
D,Virginia,Moran.James,92,Pro07,19
D,Washington,Insleee,98,Pro07,19
D,Washington,Baird,92,Pro07,19
D,Washington,Dicks,89.58,Pro07,19
D,Washington,McDermott,96,Pro07,19
D,Wisconsin,Kind,96,Pro07,19
D,Wisconsin,Moore.G,98,Pro07,19
D,California,Woolsey,98,Pro05,18
D,California,Miller,98,Pro05,18
D,California,Stark,100,Pro05,18
D,California,Lofgren,100,Pro05,18
D,California,Farr,96,Pro05,18
D,California,Sherman,98,Pro05,18
D,California,Waxman,98,Pro05,18
D,California,Watson,96,Pro05,18
D,California,Davis,97.96,Pro05,18
D,Colorado,DeGette,98,Pro05,18
D,Colorado,Udall.M,98,Pro05,18
D,Colorado,DeLauro,94,Pro05,18
D,Florida,Wexler,94,Pro05,18
D,Georgia,McKinney,100,Pro05,18
D,Maine,Michaud,94,Pro05,18
D,Maryland,VanHollen,98,Pro05,18
D,Massachusetts,McGovern,100,Pro05,18
D,Massachusetts,Tierney,100,Pro05,18
D,Massachusetts,Markey,98,Pro05,18
D,Minnesota,McCollum,98,Pro05,18
D,Nevada,Berkley,90,Pro05,18
D,New.Jersey,Pallone,100,Pro05,18
D,New.Jersey,Holt,100,Pro05,18
D,New.Jersey,Menendez,100,Pro05,18
D,New.Mexico,Udall.T,100,Pro05,18
D,New.York,Crowley,96,Pro05,18
D,New.York,Maloney,98,Pro05,18
D,Ohio,Kucinich,92,Pro05,18
D,Ohio,Brown.S,100,Pro05,18
D,Oregon,Wu,100,Pro05,18
D,Oregon,Blumenauer,98,Pro05,18
D,Oregon,DeFazio,94,Pro05,18
D,Oregon,Hooley,92,Pro05,18
D,Rhode.Island,Kennedy.P,95.24,Pro05,18
D,Rhode.Island,Langevin,98,Pro05,18
D,Washington,Insleee,98,Pro05,18
D,Washington,Smith.A,96,Pro05,18
D,Wisconsin,Baldwin,100,Pro05,18
D,Wisconsin,Kind,96,Pro05,18
D,Wisconsin,Moore.G,98,Pro05,18
D,Wisconsin,Obey,96,Pro05,18
D,Arizona,Pastor,92,Pro07,18
D,Arizona,Grijalva,94,Pro07,18
D,California,Thompson,92,Pro07,18
D,California,McNerney,90,Pro07,18
D,California,Eshoo,95.92,Pro07,18
D,California,Honda,95.92,Pro07,18
D,California,Farr,96,Pro07,18
D,California,Watson,96,Pro07,18
D,California,Harman,93.62,Pro07,18
D,California,Napolitano,92,Pro07,18
D,California,Sanchez.Loretta,95.92,Pro07,18
D,California,Filner,93.75,Pro07,18
D,Colorado,Perlmutter,90,Pro07,18
D,Colorado,Larson.J,92.68,Pro07,18
D,Florida,Wasserman.Schultz,94,Pro07,18
D,Florida,Hastings.A,93.75,Pro07,18
D,Hawaii,Hirono,90,Pro07,18
D,Illinois,Lipinski,88,Pro07,18
D,Illinois,Emanuel,91.3,Pro07,18
D,Iowa,Loebsack,90,Pro07,18
D,Maryland,Hoyer,90,Pro07,18
D,Massachusetts,Lynch,94,Pro07,18
D,Massachusetts,Delahunt,91.49,Pro07,18
D,Michigan,Levin.S,92,Pro07,18
D,Michigan,Dingell,92,Pro07,18
D,Missouri,Carnahan,92,Pro07,18
D,New.Hampshire,Shea-Porter,90,Pro07,18
D,New.Jersey,Rothman,95.92,Pro07,18
D,New.York,Meeks.G,82,Pro07,18
D,New.York,Weiner,93.88,Pro07,18
D,New.York,Towns,76.6,Pro07,18
D,New.York,Rangel,94,Pro07,18
D,New.York,Arcuri,90,Pro07,18
D,North.Carolina,Miller.B,92,Pro07,18
D,Pennsylvania,Fattah,93.88,Pro07,18
D,Pennsylvania,Murphy.P,90,Pro07,18
D,Rhode.Island,Kennedy.P,95.24,Pro07,18
D,Texas,Jackson-Lee.S,77.55,Pro07,18
D,Texas,Doggett,95.92,Pro07,18
D,Virginia,Scott.B,90,Pro07,18
D,Washington,Smith.A,96,Pro07,18
D,Wisconsin,Obey,96,Pro07,18
D,Wisconsin,Kagen,90,Pro07,18
D,Arizona,Pastor,92,Pro05,17
D,Arizona,Grijalva,94,Pro05,17
D,California,Thompson,92,Pro05,17
D,California,Pelosi,100,Pro05,17
D,California,Tauscher,98,Pro05,17
D,California,Lantos,89.8,Pro05,17
D,California,Eshoo,95.92,Pro05,17
D,California,Honda,95.92,Pro05,17
D,California,Capps,97.96,Pro05,17
D,California,Berman,92,Pro05,17
D,California,Schiff,96,Pro05,17
D,California,Becerra,92,Pro05,17
D,California,Solis,96,Pro05,17
D,California,Waters,98,Pro05,17
D,California,Millender-McDonald,90.63,Pro05,17
D,California,Sanchez.Linda,96,Pro05,17
D,California,Sanchez.Loretta,95.92,Pro05,17
D,Florida,Brown.C,90,Pro05,17
D,Florida,Wasserman.Schultz,94,Pro05,17
D,Georgia,Lewis.John,97.96,Pro05,17
D,Illinois,Jackson.J,94,Pro05,17
D,Maine,Allen.T.,98,Pro05,17
D,Maryland,Cardin,100,Pro05,17
D,Massachusetts,Olver,100,Pro05,17
D,Massachusetts,Frank.B,90,Pro05,17
D,Massachusetts,Meehan,95.35,Pro05,17
D,Massachusetts,Capuano,96,Pro05,17
D,Massachusetts,Lynch,94,Pro05,17
D,New.Jersey,Rothman,95.92,Pro05,17
D,New.York,Bishop.T,97.96,Pro05,17
D,New.York,Israel,96,Pro05,17
D,New.York,McCarthy,98,Pro05,17
D,New.York,Ackerman,91.84,Pro05,17
D,New.York,Nadler,96,Pro05,17
D,New.York,Rangel,94,Pro05,17
D,New.York,Serrano,92,Pro05,17
D,New.York,Engel,92,Pro05,17
D,New.York,Lowey,96,Pro05,17
D,New.York,McNulty,96,Pro05,17
D,New.York,Higgins,94,Pro05,17
D,North.Carolina,Price.D,94,Pro05,17
D,North.Carolina,Watt,94,Pro05,17
D,North.Carolina,Miller.B,92,Pro05,17
D,Pennsylvania,Schwartz.A,96,Pro05,17
D,Texas,Doggett,95.92,Pro05,17
D,Washington,Baird,92,Pro05,17
D,Washington,McDermott,96,Pro05,17
D,Arkansas,Snyder,85.71,Pro07,17
D,California,Berman,92,Pro07,17
D,California,Becerra,92,Pro07,17
D,California,Roybal-Allard,91.84,Pro07,17
D,California,Baca,73.47,Pro07,17
D,Colorado,DeLauro,94,Pro07,17
D,Florida,Brown.C,90,Pro07,17
D,Florida,Meek.K,88,Pro07,17
D,Florida,Wexler,94,Pro07,17
D,Illinois,Rush,77.08,Pro07,17
D,Illinois,Bean,82,Pro07,17
D,Illinois,Hare,85,Pro07,17
D,Indiana,Visclosky,82,Pro07,17
D,Indiana,Donnelly,85,Pro07,17
D,Indiana,Hill.B,85,Pro07,17
D,Iowa,Braley,85,Pro07,17
D,Kansas,Moore.D,84,Pro07,17
D,Maryland,Sarbanes,85,Pro07,17
D,Michigan,Conyers,90,Pro07,17
D,Minnesota,Walz,85,Pro07,17
D,Mississippi,Thompson.B,74,Pro07,17
D,Missouri,Cleaver,87.5,Pro07,17
D,New.York,Ackerman,91.84,Pro07,17
D,New.York,Velazquez,89.13,Pro07,17
D,New.York,Serrano,92,Pro07,17
D,New.York,Engel,92,Pro07,17
D,North.Carolina,Etheridge,84,Pro07,17
D,North.Dakota,Pomeroy,70,Pro07,17
D,Ohio,Sutton,100,Pro07,17
D,Oregon,Hooley,92,Pro07,17
D,Pennsylvania,Brady.R,79.59,Pro07,17
D,South.Carolina,Spratt,88,Pro07,17
D,Texas,Green.A,70,Pro07,17
D,Texas,Gonzalez,73.47,Pro07,17
D,Oklahoma,Boren,16.33,Anti07,17
D,California,Matsui,95.92,Pro05,16
D,California,Lee,95.92,Pro05,16
D,California,Roybal-Allard,91.84,Pro05,16
D,California,Napolitano,92,Pro05,16
D,California,Filner,93.75,Pro05,16
D,Colorado,Larson.J,92.68,Pro05,16
D,Florida,Davis.Jim,96.55,Pro05,16
D,Florida,Meek.K,88,Pro05,16
D,Florida,Hastings.A,93.75,Pro05,16
D,Hawaii,Case,93.33,Pro05,16
D,Illinois,Schakowsky,97.96,Pro05,16
D,Illinois,Evans,89.47,Pro05,16
D,Indiana,Carson.J,85.71,Pro05,16
D,Massachusetts,Neal,95.92,Pro05,16
D,Michigan,Kildee,88,Pro05,16
D,Michigan,Levin.S,92,Pro05,16
D,Michigan,Conyers,90,Pro05,16
D,Michigan,Dingell,92,Pro05,16
D,Minnesota,Sabo,94,Pro05,16
D,Missouri,Carnahan,92,Pro05,16
D,Missouri,Cleaver,87.5,Pro05,16
D,New.Jersey,Pascrell,96,Pro05,16
D,New.York,Weiner,93.88,Pro05,16
D,New.York,Owens,93.33,Pro05,16
D,New.York,Hinchey,95.92,Pro05,16
D,New.York,Slaughter,93.88,Pro05,16
D,North.Carolina,Butterfield,78,Pro05,16
D,North.Carolina,Etheridge,84,Pro05,16
D,Ohio,Kaptur,88,Pro05,16
D,Ohio,Ryan.T,86,Pro05,16
D,Pennsylvania,Fattah,93.88,Pro05,16
D,South.Carolina,Spratt,88,Pro05,16
D,Texas,Johnson.E.B,82,Pro05,16
D,Virginia,Moran.James,92,Pro05,16
D,Washington,Larsen.R,84,Pro05,16
D,Alabama,Davis,64,Pro07,16
D,California,Lantos,89.8,Pro07,16
D,Georgia,Scott.D,70,Pro07,16
D,Illinois,Gutierrez,89.36,Pro07,16
D,Maryland,Ruppersberger,82,Pro07,16
D,Massachusetts,Frank.B,90,Pro07,16
D,Michigan,Kildee,88,Pro07,16
D,Michigan,Kilpatrick,87.76,Pro07,16
D,Mississippi,Taylor.G,62,Pro07,16
D,New.York,Clarke,80,Pro07,16
D,Ohio,Kaptur,88,Pro07,16
D,Ohio,Kucinich,92,Pro07,16
D,Ohio,Ryan.T,86,Pro07,16
D,Pennsylvania,Altmire,80,Pro07,16
D,Pennsylvania,Doyle,72,Pro07,16
D,South.Carolina,Clyburn,85.71,Pro07,16
D,Tennessee,Cooper,80,Pro07,16
D,Tennessee,Gordon,72,Pro07,16
D,Texas,Rodriguez,80,Pro07,16
D,Texas,Johnson.E.B,82,Pro07,16
D,Washington,Larsen.R,84,Pro07,16
D,Illinois,Lipinski,88,Pro05,15
D,Illinois,Davis.D,89.8,Pro05,15
D,Kentucky,Chandler,92,Pro05,15
D,Maryland,Hoyer,90,Pro05,15
D,Maryland,Cummings,92,Pro05,15
D,Michigan,Kilpatrick,87.76,Pro05,15
D,Minnesota,Obserstar,79.17,Pro05,15
D,Missouri,Clay,83.67,Pro05,15
D,New.Jersey,Andrews,100,Pro05,15
D,New.Jersey,Payne,89.13,Pro05,15
D,Ohio,Tubbs.Jones.S,82,Pro05,15
D,Virginia,Scott.B,90,Pro05,15
D,Washington,Dicks,89.58,Pro05,15
D,West.Virginia,Rahall,82,Pro05,15
D,California,Costa,63.27,Pro07,15
D,Florida,Mahoney,75,Pro07,15
D,Florida,Klein,75,Pro07,15
D,Georgia,Bishop.S,54.17,Pro07,15
D,Illinois,Costello,74,Pro07,15
D,Indiana,Ellsworth,75,Pro07,15
D,Iowa,Boswell,63.83,Pro07,15
D,Louisiana,Jefferson,61.22,Pro07,15
D,Minnesota,Obserstar,79.17,Pro07,15
D,Missouri,Clay,83.67,Pro07,15
D,Nevada,Berkley,90,Pro07,15
D,New.Jersey,Payne,89.13,Pro07,15
D,North.Carolina,McIntyre,71.43,Pro07,15
D,North.Carolina,Shuler,75,Pro07,15
D,Ohio,Tubbs.Jones.S,82,Pro07,15
D,Pennsylvania,Murtha,64,Pro07,15
D,Tennessee,Davis.L,52,Pro07,15
D,Virginia,Boucher,70.21,Pro07,15
D,West.Virginia,Rahall,82,Pro07,15
D,Arkansas,Snyder,85.71,Pro05,14
D,California,Harman,93.62,Pro05,14
D,Colorado,Salazar.J,71.43,Pro05,14
D,Florida,Boyd,62,Pro05,14
D,Georgia,Barrow,66,Pro05,14
D,Illinois,Gutierrez,89.36,Pro05,14
D,Illinois,Bean,82,Pro05,14
D,Kansas,Moore.D,84,Pro05,14
D,Maryland,Ruppersberger,82,Pro05,14
D,Massachusetts,Delahunt,91.49,Pro05,14
D,Michigan,Stupak,78.57,Pro05,14
D,Mississippi,Thompson.B,74,Pro05,14
D,Ohio,Strickland,85.19,Pro05,14
D,South.Carolina,Clyburn,85.71,Pro05,14
D,Alabama,Cramer,46.94,Pro07,14
D,Arkansas,Berry,50,Pro07,14
D,Colorado,Salazar.J,71.43,Pro07,14
D,Hawaii,Abercrombie,70,Pro07,14
D,Indiana,Carson.J,85.71,Pro07,14
D,Kansas,Boyda,70,Pro07,14
D,Michigan,Stupak,78.57,Pro07,14
D,Missouri,Skelton,60,Pro07,14
D,North.Carolina,Butterfield,78,Pro07,14
D,Pennsylvania,Kanjorski,69.39,Pro07,14
D,Pennsylvania,Holden,60,Pro07,14
D,South.Dakota,Herseth,60,Pro07,14
D,Tennessee,Tanner,56,Pro07,14
D,Texas,Reyes,52.08,Pro07,14
D,Illinois,Rush,77.08,Pro05,13
D,Illinois,Emanuel,91.3,Pro05,13
D,Illinois,Costello,74,Pro05,13
D,Indiana,Visclosky,82,Pro05,13
D,New.York,Meeks.G,82,Pro05,13
D,New.York,Velazquez,89.13,Pro05,13
D,Pennsylvania,Brady.R,79.59,Pro05,13
D,California,Cardoza,62,Pro07,13
D,Florida,Boyd,62,Pro07,13
D,Georgia,Barrow,66,Pro07,13
D,Texas,Cuellar,40,Pro07,13
D,Texas,Green.G,56.25,Pro07,13
D,Alabama,Cramer,46.94,Anti05,13
D,Oklahoma,Boren,16.33,Anti05,13
D,Texas,Ortiz,34,Anti07,13
D,Hawaii,Abercrombie,70,Pro05,12
D,Maryland,Wynn,86,Pro05,12
D,North.Carolina,McIntyre,71.43,Pro05,12
D,Pennsylvania,Kanjorski,69.39,Pro05,12
D,Tennessee,Cooper,80,Pro05,12
D,Tennessee,Ford,74.07,Pro05,12
D,Arizona,Grijalva,94,Pro06,12
D,California,Matsui,95.92,Pro06,12
D,California,Woolsey,98,Pro06,12
D,California,Miller,98,Pro06,12
D,California,Pelosi,100,Pro06,12
D,California,Lee,95.92,Pro06,12
D,California,Tauscher,98,Pro06,12
D,California,Stark,100,Pro06,12
D,California,Eshoo,95.92,Pro06,12
D,California,Honda,95.92,Pro06,12
D,California,Farr,96,Pro06,12
D,California,Capps,97.96,Pro06,12
D,California,Sherman,98,Pro06,12
D,California,Berman,92,Pro06,12
D,California,Schiff,96,Pro06,12
D,California,Waxman,98,Pro06,12
D,California,Becerra,92,Pro06,12
D,California,Solis,96,Pro06,12
D,California,Watson,96,Pro06,12
D,California,Roybal-Allard,91.84,Pro06,12
D,California,Waters,98,Pro06,12
D,California,Harman,93.62,Pro06,12
D,California,Napolitano,92,Pro06,12
D,California,Sanchez.Linda,96,Pro06,12
D,California,Sanchez.Loretta,95.92,Pro06,12
D,Colorado,DeGette,98,Pro06,12
D,Colorado,Udall.M,98,Pro06,12
D,Colorado,DeLauro,94,Pro06,12
D,Florida,Davis.Jim,96.55,Pro06,12
D,Florida,Wexler,94,Pro06,12
D,Florida,Wasserman.Schultz,94,Pro06,12
D,Georgia,McKinney,100,Pro06,12
D,Georgia,Lewis.John,97.96,Pro06,12
D,Hawaii,Case,93.33,Pro06,12
D,Illinois,Gutierrez,89.36,Pro06,12
D,Illinois,Schakowsky,97.96,Pro06,12
D,Indiana,Carson.J,85.71,Pro06,12
D,Maine,Allen.T.,98,Pro06,12
D,Maryland,Cardin,100,Pro06,12
D,Maryland,Hoyer,90,Pro06,12
D,Maryland,Cummings,92,Pro06,12
D,Maryland,VanHollen,98,Pro06,12
D,Massachusetts,Olver,100,Pro06,12
D,Massachusetts,Neal,95.92,Pro06,12
D,Massachusetts,McGovern,100,Pro06,12
D,Massachusetts,Frank.B,90,Pro06,12
D,Massachusetts,Meehan,95.35,Pro06,12
D,Massachusetts,Tierney,100,Pro06,12
D,Massachusetts,Markey,98,Pro06,12
D,Massachusetts,Capuano,96,Pro06,12
D,Massachusetts,Lynch,94,Pro06,12
D,Michigan,Kildee,88,Pro06,12
D,Michigan,Levin.S,92,Pro06,12
D,Michigan,Kilpatrick,87.76,Pro06,12
D,Michigan,Conyers,90,Pro06,12
D,Michigan,Dingell,92,Pro06,12
D,Minnesota,McCollum,98,Pro06,12
D,Missouri,Carnahan,92,Pro06,12
D,Nevada,Berkley,90,Pro06,12
D,New.Jersey,Andrews,100,Pro06,12
D,New.Jersey,Pallone,100,Pro06,12
D,New.Jersey,Pascrell,96,Pro06,12
D,New.Jersey,Rothman,95.92,Pro06,12
D,New.Jersey,Holt,100,Pro06,12
D,New.Mexico,Udall.T,100,Pro06,12
D,New.York,McCarthy,98,Pro06,12
D,New.York,Nadler,96,Pro06,12
D,New.York,Weiner,93.88,Pro06,12
D,New.York,Owens,93.33,Pro06,12
D,New.York,Rangel,94,Pro06,12
D,New.York,Serrano,92,Pro06,12
D,New.York,Engel,92,Pro06,12
D,New.York,Lowey,96,Pro06,12
D,New.York,McNulty,96,Pro06,12
D,New.York,Hinchey,95.92,Pro06,12
D,Ohio,Kaptur,88,Pro06,12
D,Ohio,Kucinich,92,Pro06,12
D,Ohio,Brown.S,100,Pro06,12
D,Oregon,Wu,100,Pro06,12
D,Pennsylvania,Fattah,93.88,Pro06,12
D,Pennsylvania,Schwartz.A,96,Pro06,12
D,Rhode.Island,Langevin,98,Pro06,12
D,South.Carolina,Clyburn,85.71,Pro06,12
D,Tennessee,Cooper,80,Pro06,12
D,Texas,Doggett,95.92,Pro06,12
D,Virginia,Scott.B,90,Pro06,12
D,Washington,Insleee,98,Pro06,12
D,Washington,McDermott,96,Pro06,12
D,Washington,Smith.A,96,Pro06,12
D,Wisconsin,Baldwin,100,Pro06,12
D,Wisconsin,Moore.G,98,Pro06,12
D,Wisconsin,Obey,96,Pro06,12
D,Arkansas,Ross,48,Pro07,12
D,Massachusetts,Meehan,95.35,Pro07,12
D,Minnesota,Peterson.C,46,Pro07,12
D,Ohio,Wilson.C,100,Pro07,12
D,Ohio,Space,100,Pro07,12
D,Texas,Edwards,42,Pro07,12
D,Louisiana,Melancon,36,Anti05,12
D,Tennessee,Davis.L,52,Anti05,12
D,Texas,Hinojusa,44,Anti05,12
D,Texas,Ortiz,34,Anti05,12
D,Texas,Cuellar,40,Anti05,12
D,California,Cardoza,62,Pro05,11
D,California,Costa,63.27,Pro05,11
D,Georgia,Marshall,54,Pro05,11
D,Pennsylvania,Doyle,72,Pro05,11
D,Tennessee,Gordon,72,Pro05,11
D,Texas,Jackson-Lee.S,77.55,Pro05,11
D,Texas,Gonzalez,73.47,Pro05,11
D,Arizona,Pastor,92,Pro06,11
D,Arkansas,Snyder,85.71,Pro06,11
D,California,Thompson,92,Pro06,11
D,California,Lantos,89.8,Pro06,11
D,California,Lofgren,100,Pro06,11
D,California,Millender-McDonald,90.63,Pro06,11
D,California,Filner,93.75,Pro06,11
D,California,Davis,97.96,Pro06,11
D,Florida,Brown.C,90,Pro06,11
D,Florida,Meek.K,88,Pro06,11
D,Florida,Hastings.A,93.75,Pro06,11
D,Illinois,Jackson.J,94,Pro06,11
D,Illinois,Lipinski,88,Pro06,11
D,Illinois,Emanuel,91.3,Pro06,11
